,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
1849,3,17200000,New Property,Ready To Move,Broker,No, Old Madras Road,1640
1850,2,5500000,Resale,Ready To Move,Broker,No, Whitefield,1060
1851,2,9462000,Resale,Ready To Move,Broker,No, Sarjapur Road,1005
1852,3,16400000,New Property,Ready To Move,Broker,No, Sarjapur Road,1485
1853,4,99500000,New Property,Ready To Move,Broker,No, Indira Nagar,6301
1854,2,6000000,New Property,Ready To Move,Broker,No, Electronic City Phase I,945
1855,3,9168000,New Property,Ready To Move,Broker,No, Uttarahalli,1667
1856,3,22500000,New Property,Ready To Move,Broker,No, Koramangala,1895
1857,2,9800000,New Property,Ready To Move,Broker,No, Yelahanka,1200
1858,3,10600000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1929
1859,1,5807000,New Property,Ready To Move,Broker,No, Haralur Road,820
1860,2,8462000,New Property,Ready To Move,Broker,No, Nagavara,1099
1861,1,2672000,New Property,Ready To Move,Broker,No, Devanahalli,514
1862,1,4755000,New Property,Ready To Move,Broker,No, Haralur Road,655
1863,3,13200000,New Property,Ready To Move,Broker,No, Hosur Road,1678
1864,2,10300000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1150
1865,2,7305000,New Property,Ready To Move,Broker,No, Sarjapur Road,1125
1866,3,17600000,New Property,Ready To Move,Broker,No, Devanahalli,1950
1867,2,18900000,New Property,Ready To Move,Broker,No, JP Nagar,1521
1868,2,5600000,New Property,Ready To Move,Broker,No, Thanisandra,979
1869,3,13500000,Resale,Ready To Move,Broker,No, Sarjapur Road,1460
1870,2,14000000,New Property,Ready To Move,Broker,No, Hebbal,1284
1871,3,9700000,New Property,Ready To Move,Broker,No, Gottigere,1370
1872,2,4226000,Resale,Ready To Move,Broker,No, Bannerghatta Road,1088
1873,4,85500000,New Property,Ready To Move,Broker,No, Old Madras Road,6501
1874,2,4400000,Resale,Ready To Move,Broker,No, Hoskote,741
1875,2,4768000,New Property,Ready To Move,Broker,No, Hosa Road,1192
1876,3,4915000,New Property,Ready To Move,Broker,No, Sompura,1536
1877,3,22000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1603
1878,3,16900000,New Property,Ready To Move,Broker,No, Mysore Road,1749
1879,2,8389000,New Property,Ready To Move,Broker,No, Kanakapura Road,959
1880,3,8232000,New Property,Ready To Move,Broker,No, Devanahalli,1273
1881,2,12600000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1260
1882,3,16500000,New Property,Ready To Move,Broker,No, Whitefield,1850
1883,2,9000000,New Property,Ready To Move,Broker,No, Whitefield,1006
1884,2,12800000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1280
1885,3,14600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1809
1886,2,3700000,New Property,Ready To Move,Broker,No, Chandapura,800
1887,2,8500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1225
1888,2,3650000,New Property,Ready To Move,Broker,No, Devanahalli,859
1889,3,17300000,New Property,Ready To Move,Broker,No, Sarjapur Road,1850
1890,4,61000000,New Property,Ready To Move,Broker,No, Whitefield,4401
1891,2,9900000,New Property,Ready To Move,Broker,No, Cottonpete,1063
1892,2,4500000,Resale,Ready To Move,Broker,No, KR Puram,1000
1893,4+,90000000,New Property,Ready To Move,Broker,No, Whitefield,6219
1894,3,20000000,Resale,Ready To Move,Broker,No, Whitefield,1372
1895,4,19900000,New Property,Ready To Move,Broker,No, Sarjapur Road,2681
1896,2,6299000,New Property,Ready To Move,Broker,No, Sarjapur Road,998
1897,3,30000000,Resale,Ready To Move,Broker,No, Devanahalli,2500
1898,3,19200000,Resale,Ready To Move,Broker,No, Whitefield,1639
1899,4+,130000000,New Property,Ready To Move,Broker,No, Whitefield,4800
1900,3,20000000,Resale,Ready To Move,Broker,No, Hennur Road,2033
1901,2,6630000,New Property,Ready To Move,Broker,No, Uttarahalli,874
1902,2,7800000,Resale,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1235
1903,4+,52000000,New Property,Ready To Move,Broker,No, Whitefield,3500
1904,3,25000000,New Property,Ready To Move,Broker,No, Whitefield,1985
1905,3,11800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1281
1906,2,5789000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1412
1907,1,4165000,New Property,Ready To Move,Broker,No, Devanahalli,660
1908,2,12800000,New Property,Ready To Move,Broker,No, Yelahanka New Town,1349
1909,2,5445000,New Property,Ready To Move,Broker,No, Whitefield,1089
1910,2,8394000,New Property,Ready To Move,Broker,No, Banashankari 3rd Stage,1181
1911,3,17700000,Resale,Ready To Move,Broker,No, Rachenahalli,1580
1912,2,7735000,New Property,Ready To Move,Broker,No, KR Puram,1190
1913,2,21000000,New Property,Ready To Move,Broker,No, Whitefield,1411
1914,4,70000000,New Property,Ready To Move,Broker,No, Kanakapura Road,5236
1915,3,14600000,New Property,Ready To Move,Broker,No, Kanakapura Road,1475
1916,3,45000000,New Property,Ready To Move,Broker,No, Old Madras Road,2400
1917,2,11400000,New Property,Ready To Move,Broker,No, Yelahanka,1195
1918,2,12500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1279
1919,3,18900000,New Property,Ready To Move,Broker,No, Whitefield,1486
1920,3,21200000,New Property,Ready To Move,Broker,No, Whitefield,1760
1921,1,5934000,New Property,Ready To Move,Broker,No, Thanisandra,715
1922,3,19000000,New Property,Ready To Move,Broker,No, Chikkavaderapura,1692
1923,1,4641000,New Property,Ready To Move,Broker,No, Varthur,615
1924,2,8292000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
1925,3,9704000,New Property,Ready To Move,Broker,No, Sarjapur Road,1255
1926,3,14000000,New Property,Ready To Move,Broker,No, Whitefield,1480
1927,3,22600000,New Property,Ready To Move,Broker,No, Whitefield,1895
1928,2,5800000,New Property,Ready To Move,Broker,No, Kogilu,1005
1929,2,4768000,New Property,Ready To Move,Broker,No, Hosa Road,1192
1930,2,6336000,New Property,Ready To Move,Broker,No, Sarjapur Road,875
1931,3,4915000,New Property,Ready To Move,Broker,No, Sompura,1536
1932,4,100000000,New Property,Ready To Move,Broker,No, Whitefield,8500
1933,2,6800000,New Property,Ready To Move,Broker,No, Whitefield,1181
1934,3,11700000,New Property,Ready To Move,Broker,No, Kanakapura Road,1281
1935,2,8590000,New Property,Ready To Move,Broker,No, Kanakapura Road,900
1936,3,31500000,Resale,Ready To Move,Broker,No, Thanisandra,1674
1937,4+,42000000,Resale,Ready To Move,Broker,No, Off Sarjapur road,4235
1938,3,20000000,Resale,Ready To Move,Broker,No, Hennur Road,2033
1939,3,5691000,New Property,Ready To Move,Broker,No, Mysore Road,973
1940,3,8349000,New Property,Ready To Move,Broker,No, Thanisandra Ma,1532
1941,1,6901000,New Property,Ready To Move,Broker,No, Kanakapura Road,763
1942,3,11800000,New Property,Ready To Move,Broker,No, Kanakapura Road,1281
1943,3,3721000,New Property,Ready To Move,Broker,No, Whitefield,1220
1944,4+,39000000,Resale,Ready To Move,Broker,No, Yeshwanthpur,2310
1945,1,4165000,New Property,Ready To Move,Broker,No, Devanahalli,660
1946,3,10500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1451
1947,1,4734000,New Property,Ready To Move,Broker,No, Off Sarjapur road,690
1948,2,8394000,New Property,Ready To Move,Broker,No, Banashankari 3rd Stage,1181
1949,3,9214000,New Property,Ready To Move,Broker,No, Devanahalli,1460
1950,3,9628000,New Property,Ready To Move,Broker,No, Raja Rajeshwari Nagar,1660
1951,3,12700000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1505
1952,3,7600000,New Property,Ready To Move,Broker,No, Chandapura,1410
1953,3,20000000,Resale,Ready To Move,Broker,No, Devanahalli,2000
1954,3,15000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1600
1955,4+,44500000,Resale,Ready To Move,Broker,No, Devanahalli,4000
1956,2,17000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1296
1957,2,8107000,Resale,Ready To Move,Broker,No, Old Madras Road,1170
1958,2,3555000,New Property,Ready To Move,Broker,No, Hosur Road,750
1959,3,12900000,New Property,Ready To Move,Broker,No, Gunjur,1474
1960,3,7300000,New Property,Ready To Move,Broker,No, Sarjapur Road,1360
1961,3,14500000,Resale,Ready To Move,Broker,No, Ramagondanahalli,1626
1962,2,8100000,New Property,Ready To Move,Broker,No, Choodasandra,980
1963,4+,52000000,New Property,Ready To Move,Broker,No, Yeshwanthpur,3055
1964,1,4383000,New Property,Ready To Move,Broker,No, Whitefield,548
1965,3,16500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1665
1966,4+,47500000,New Property,Ready To Move,Broker,No, Whitefield,2555
1967,3,12500000,Resale,Ready To Move,Broker,No, Kanakapura Road,1254
1968,3,9165000,New Property,Ready To Move,Broker,No, Chandapura,1950
1969,2,5600000,New Property,Ready To Move,Broker,No, Sarjapur,900
1970,3,12500000,New Property,Ready To Move,Broker,No, Jigani,2700
1971,4+,50000000,New Property,Ready To Move,Broker,No, Devanahalli,3600
1972,4+,53000000,Resale,Ready To Move,Broker,No, Devanahalli,3421
1973,4+,35000000,New Property,Ready To Move,Broker,No, Sarjapur Road,2230
1974,3,17000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1540
1975,2,13000000,Resale,Ready To Move,Broker,No, International Airport Road,1273
1976,5,76000000,New Property,Ready To Move,Broker,No, Yelahanka,5948
1977,4,90000000,New Property,Ready To Move,Broker,No, Koramangala,6302
1978,4,90000000,New Property,Ready To Move,Broker,No, Old Madras Road,6302
1979,2,14900000,New Property,Ready To Move,Broker,No, Thanisandra,1279
1980,4,5211000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1489
1981,2,4011000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1146
1982,3,12200000,New Property,Ready To Move,Broker,No, Whitefield,1350
1983,3,18600000,New Property,Ready To Move,Broker,No, Whitefield,1839
1984,2,12500000,New Property,Ready To Move,Broker,No, KR Puram,1522
1985,3,14000000,New Property,Ready To Move,Broker,No, Whitefield,1775
1986,3,13800000,New Property,Ready To Move,Broker,No, Whitefield,1700
1987,3,14500000,New Property,Ready To Move,Broker,No, Banashankari,1960
1988,3,14600000,New Property,Ready To Move,Broker,No, Old Madras Road,1335
1989,3,12800000,New Property,Ready To Move,Broker,No, Whitefield,1500
1990,2,5514000,New Property,Ready To Move,Broker,No, Electronic City,932
1991,3,9800000,New Property,Ready To Move,Broker,No, Electronic City,1811
1992,2,4900000,New Property,Ready To Move,Broker,No, Electronic City,1075
1993,3,18600000,New Property,Ready To Move,Broker,No, Sarjapur Road,1455
1994,2,7280000,New Property,Ready To Move,Broker,No, Hoskote,1120
1995,4+,57500000,New Property,Ready To Move,Broker,No, Devanahalli,4700
1996,4+,101500000,New Property,Ready To Move,Broker,No, Sudhama Nagar,2900
1997,3,22500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1600
1998,4+,61900000,Resale,Ready To Move,Broker,No, Marathahalli,3731
1999,4+,36900000,New Property,Ready To Move,Broker,No, Whitefield,2533
2000,3,11700000,New Property,Ready To Move,Broker,No, Vijaya Nagar,1186
2001,3,9704000,New Property,Ready To Move,Broker,No, Sarjapur Road,1255
2002,3,14200000,New Property,Ready To Move,Broker,No, Uttarahalli,1581
2003,2,5800000,New Property,Ready To Move,Broker,No, Kogilu,1005
2004,2,4768000,New Property,Ready To Move,Broker,No, Hosa Road,1192
2005,2,6299000,New Property,Ready To Move,Broker,No, Sarjapur Road,998
2006,2,6336000,New Property,Ready To Move,Broker,No, Sarjapur Road,875
2007,3,4915000,New Property,Ready To Move,Broker,No, Sompura,1536
2008,3,30000000,Resale,Ready To Move,Broker,No, Devanahalli,2500
2009,2,9000000,New Property,Ready To Move,Broker,No, Whitefield,1006
2010,2,12800000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1280
2011,3,6663000,New Property,Ready To Move,Broker,No, Kengeri,1481
2012,2,3650000,New Property,Ready To Move,Broker,No, Devanahalli,859
2013,3,17300000,New Property,Ready To Move,Broker,No, Sarjapur Road,1850
2014,3,19200000,Resale,Ready To Move,Broker,No, Whitefield,1639
2015,2,4580000,New Property,Ready To Move,Broker,No, Sarjapur Road,1145
2016,3,27200000,Resale,Ready To Move,Broker,No, Whitefield,1947
2017,5,76000000,New Property,Ready To Move,Broker,No, Yelahanka,5949
2018,2,14000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1290
2019,3,15900000,New Property,Ready To Move,Broker,No, Whitefield,1585
2020,3,23000000,Resale,Ready To Move,Broker,No, Whitefield,2029
2021,2,18500000,New Property,Ready To Move,Broker,No, Marathahalli,1130
2022,3,11600000,New Property,Ready To Move,Broker,No, Gummanahalli,1520
2023,3,11800000,New Property,Ready To Move,Broker,No, Thanisandra,1345
2024,3,11200000,New Property,Ready To Move,Broker,No, Akshayanagar,1435
2025,2,3800000,New Property,Ready To Move,Broker,No, Tumkur Road,708
2026,2,4263000,New Property,Ready To Move,Broker,No, Electronic City,1185
2027,2,6046000,New Property,Ready To Move,Broker,No, Electronic City,1025
2028,3,18900000,New Property,Ready To Move,Broker,No, Whitefield,1486
2029,3,21200000,New Property,Ready To Move,Broker,No, Whitefield,1760
2030,1,4641000,New Property,Ready To Move,Broker,No, Varthur,615
2031,2,8292000,New Property,Ready To Move,Broker,No, Sarjapur Road,1240
2032,3,9704000,New Property,Ready To Move,Broker,No, Sarjapur Road,1255
2033,3,14000000,New Property,Ready To Move,Broker,No, Whitefield,1480
2034,3,22600000,New Property,Ready To Move,Broker,No, Whitefield,1895
2035,2,4768000,New Property,Ready To Move,Broker,No, Hosa Road,1192
2036,2,5800000,New Property,Ready To Move,Broker,No, Kogilu,1005
2037,3,13700000,New Property,Ready To Move,Broker,No, KR Puram,1531
2038,3,17700000,Resale,Ready To Move,Broker,No, Rachenahalli,1983
2039,2,3614000,Resale,Ready To Move,Broker,No, Electronic City Phase I,1371
2040,3,33500000,New Property,Ready To Move,Broker,No, Whitefield,2230
2041,4,48500000,New Property,Ready To Move,Broker,No, Whitefield,4001
2042,2,13500000,Resale,Ready To Move,Broker,No, Mysore Road,1148
2043,2,7644000,New Property,Ready To Move,Broker,No, Hennur Road,1049
2044,3,9548000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1705
2045,1,3300000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,610
2046,3,8600000,New Property,Ready To Move,Broker,No, Devanahalli,1510
2047,2,9327000,New Property,Ready To Move,Broker,No, Devanahalli,1490
2048,3,9386000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1495
2049,4,20500000,New Property,Ready To Move,Broker,No, Whitefield,2591
2050,2,9805000,New Property,Ready To Move,Broker,No, Banashankari,1325
2051,3,13100000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1814
2052,2,9200000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1272
2053,3,9642000,New Property,Ready To Move,Broker,No, Hebbal,1330
2054,2,5808000,New Property,Ready To Move,Broker,No, Nallurhalli,968
2055,2,5444000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,1089
2056,2,2397000,New Property,Ready To Move,Broker,No, Sarjapur Road,685
2057,3,9246000,New Property,Ready To Move,Broker,No, Nallurhalli,1541
2058,2,5800000,New Property,Ready To Move,Broker,No, Sarjapur,1475
2059,2,11000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1185
2060,2,14300000,New Property,Ready To Move,Broker,No, Yeshwanthpur,1250
2061,2,9800000,New Property,Ready To Move,Broker,No, Devanahalli,1375
2062,3,20000000,New Property,Ready To Move,Broker,No, Whitefield,1639
2063,4,70000000,New Property,Ready To Move,Broker,No, Kanakapura Road,5236
2064,3,19500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1567
2065,2,14000000,New Property,Ready To Move,Broker,No, Sarjapur,971
2066,3,6768000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1410
2067,3,9400000,Resale,Ready To Move,Broker,No, Banashankari,1300
2068,3,12100000,New Property,Ready To Move,Broker,No, Whitefield,1366
2069,3,44400000,Resale,Ready To Move,Broker,No, Whitefield,2570
2070,2,16000000,Resale,Ready To Move,Broker,No, Off Sarjapur road,1309
2071,3,13400000,New Property,Ready To Move,Broker,No, Whitefield,1645
2072,2,8000000,New Property,Ready To Move,Broker,No, Whitefield,986
2073,3,13300000,New Property,Ready To Move,Broker,No, Mysore Road,1800
2074,3,12600000,New Property,Ready To Move,Broker,No, Varthur,1540
2075,3,9374000,New Property,Ready To Move,Broker,No, Kanakapura Road,1440
2076,2,8570000,New Property,Ready To Move,Broker,No, Horamavu,1280
2077,2,7546000,New Property,Ready To Move,Broker,No, KR Puram,1399
2078,2,6854000,New Property,Ready To Move,Broker,No, Varthur,1043
2079,1,5487000,New Property,Ready To Move,Broker,No, Kanakapura Road,554
2080,3,15500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1993
2081,3,21000000,New Property,Ready To Move,Broker,No, Whitefield,2341
2082,2,9647000,New Property,Ready To Move,Broker,No, Mahadevapura,1135
2083,4+,38000000,New Property,Ready To Move,Broker,No, Bannerghatta Road,3595
2084,3,19000000,Resale,Ready To Move,Broker,No, KR Puram,1927
2085,3,21800000,New Property,Ready To Move,Broker,No, Banashankari,1370
2086,2,11000000,New Property,Ready To Move,Broker,No, Kaggadasapura,1109
2087,2,12500000,New Property,Ready To Move,Broker,No, Hennur Road,1194
2088,2,7392000,New Property,Ready To Move,Broker,No, Choodasandra,1232
2089,2,8500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1100
2090,3,9486000,New Property,Ready To Move,Broker,No, Gunjur,1265
2091,2,4800000,New Property,Ready To Move,Broker,No, Attibele,752
2092,2,7800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1100
2093,2,6900000,New Property,Ready To Move,Broker,No, Sarjapur,1079
2094,3,15700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1661
2095,2,12500000,New Property,Ready To Move,Broker,No, Sarjapur Road,1279
2096,1,5934000,New Property,Ready To Move,Broker,No, Thanisandra,715
2097,3,8618000,New Property,Ready To Move,Broker,No, Sarjapur,1377
2098,2,6336000,New Property,Ready To Move,Broker,No, Sarjapur Road,875
2099,3,4915000,New Property,Ready To Move,Broker,No, Sompura,1536
