,NumberOfBHK,Price,Transaction,Availability,PostedBy,ReraApproved,AreaName,BuiltUpArea_sqft
1290,2,8570000,New Property,Ready To Move,Broker,No, Horamavu,1280
1291,3,9374000,New Property,Ready To Move,Broker,No, Kanakapura Road,1440
1292,2,7546000,New Property,Ready To Move,Broker,No, KR Puram,1399
1293,2,6854000,New Property,Ready To Move,Broker,No, Varthur,1043
1294,3,17200000,New Property,Ready To Move,Broker,No, Kaggadasapura,1610
1295,3,9426000,New Property,Ready To Move,Broker,No, KR Puram,1519
1296,2,10500000,New Property,Ready To Move,Broker,No, Varthur,1018
1297,2,6206000,New Property,Ready To Move,Broker,No, Electronic City,1078
1298,2,11000000,New Property,Ready To Move,Broker,No, Kaggadasapura,1109
1299,2,7400000,New Property,Ready To Move,Broker,No, Yelahanka,1275
1300,3,9788000,New Property,Ready To Move,Broker,No, Uttarahalli,1595
1301,2,7274000,New Property,Ready To Move,Broker,No, Gunjur,970
1302,2,6154000,Resale,Ready To Move,Broker,No, Mysore Road,1160
1303,3,25000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1603
1304,3,29000000,Resale,Ready To Move,Broker,No, Whitefield,1761
1305,3,11100000,New Property,Ready To Move,Broker,No, Varthur,1626
1306,3,40000000,Resale,Ready To Move,Broker,No, Hebbal,1708
1307,3,6421000,New Property,Ready To Move,Broker,No, Attibele,1333
1308,3,13100000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1814
1309,2,9200000,New Property,Ready To Move,Broker,No, Bannerghatta Road,1272
1310,1,2655000,New Property,Ready To Move,Broker,No, Whitefield,531
1311,3,9642000,New Property,Ready To Move,Broker,No, Hebbal,1330
1312,3,10700000,New Property,Ready To Move,Broker,No, Sarjapur Road,1658
1313,2,7583000,New Property,Ready To Move,Broker,No, Hebbal,1046
1314,2,4257000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1159
1315,2,4589000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,918
1316,2,3399000,New Property,Ready To Move,Broker,No, Doddaballapur Road,907
1317,2,2390000,New Property,Ready To Move,Broker,No, Sarjapur Road,683
1318,3,6523000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,1305
1319,3,3314000,New Property,Ready To Move,Broker,No, Sarjapur Road,947
1320,2,2397000,New Property,Ready To Move,Broker,No, Sarjapur Road,685
1321,2,5444000,New Property,Ready To Move,Broker,No, JP Nagar Phase 8,1089
1322,2,5808000,New Property,Ready To Move,Broker,No, Nallurhalli,968
1323,2,18000000,New Property,Ready To Move,Broker,No, Thanisandra,1280
1324,1,3660000,New Property,Ready To Move,Broker,No, Kanakapura Road,573
1325,3,46000000,Resale,Ready To Move,Broker,No, Whitefield,2700
1326,2,11300000,New Property,Ready To Move,Broker,No, Sarjapur Road,1215
1327,3,11500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1674
1328,3,16500000,Resale,Ready To Move,Broker,No, Kanakapura Road,1690
1329,2,7400000,New Property,Ready To Move,Broker,No, Yelahanka,1275
1330,1,2434000,New Property,Ready To Move,Broker,No, Doddaballapur Road,623
1331,3,9729000,New Property,Ready To Move,Broker,No, Huskur,1382
1332,3,7100000,New Property,Ready To Move,Broker,No, Whitefield,1330
1333,2,7300000,New Property,Ready To Move,Broker,No, Whitefield,911
1334,2,5163000,New Property,Ready To Move,Broker,No, Budigere,930
1335,2,13400000,New Property,Ready To Move,Broker,No, Whitefield,1456
1336,3,15100000,New Property,Ready To Move,Broker,No, Thanisandra,1725
1337,3,13900000,New Property,Ready To Move,Broker,No, Sarjapur,2850
1338,2,10400000,New Property,Ready To Move,Broker,No, Whitefield,1250
1339,2,5722000,New Property,Ready To Move,Broker,No, Hennur Road,985
1340,3,19800000,New Property,Ready To Move,Broker,No, Whitefield,2144
1341,3,19100000,New Property,Ready To Move,Broker,No, Thanisandra,1535
1342,3,13800000,New Property,Ready To Move,Broker,No, Whitefield,1700
1343,3,20000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1746
1344,3,24000000,Resale,Ready To Move,Broker,No, Kanakapura Road,1603
1345,3,22800000,Resale,Ready To Move,Broker,No, Bannerghatta Road,1810
1346,3,13300000,Resale,Ready To Move,Broker,No, Sarjapur Road,1440
1347,2,8900000,Resale,Ready To Move,Broker,No, Sarjapur Road,900
1348,4,36000000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,2885
1349,2,12700000,Resale,Ready To Move,Broker,No, Sarjapur Road,1230
1350,2,12000000,New Property,Ready To Move,Broker,No, Whitefield,1067
1351,2,12700000,New Property,Ready To Move,Broker,No, Sahakara Nagar,1450
1352,2,9146000,New Property,Ready To Move,Broker,No, Bellandur,1355
1353,2,9000000,New Property,Ready To Move,Broker,No, Munnekollal,1120
1354,3,16300000,New Property,Ready To Move,Broker,No, Chikkavaderapura,1401
1355,2,11600000,New Property,Ready To Move,Broker,No, Thanisandra,1120
1356,3,7810000,New Property,Ready To Move,Broker,No, Whitefield,1453
1357,3,12500000,New Property,Ready To Move,Broker,No, Bagaluru,1634
1358,1,3775000,New Property,Ready To Move,Broker,No, Whitefield,733
1359,2,10300000,New Property,Ready To Move,Broker,No, Sarjapur Road,1464
1360,3,11100000,New Property,Ready To Move,Broker,No, Gunjur,1340
1361,1,2976000,New Property,Ready To Move,Broker,No, Electronic City Phase II,470
1362,2,8243000,New Property,Ready To Move,Broker,No, Kanakapura Road,1050
1363,2,7644000,New Property,Ready To Move,Broker,No, Hennur Road,1049
1364,3,9781000,New Property,Ready To Move,Broker,No, Hennur Road,1357
1365,4,21200000,Resale,Ready To Move,Broker,No, Anekal,3200
1366,4,71000000,Resale,Ready To Move,Broker,No, Whitefield,6501
1367,3,25500000,Resale,Ready To Move,Broker,No, Whitefield,1667
1368,3,17200000,New Property,Ready To Move,Broker,No, Old Madras Road,1640
1369,2,3500000,Resale,Ready To Move,Broker,No, Sarjapur,828
1370,3,17000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1430
1371,3,6768000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1410
1372,3,12500000,New Property,Ready To Move,Broker,No, Whitefield,1595
1373,3,12100000,New Property,Ready To Move,Broker,No, Whitefield,1366
1374,3,13400000,New Property,Ready To Move,Broker,No, Whitefield,1645
1375,3,16800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1685
1376,3,35600000,New Property,Ready To Move,Broker,No, Whitefield,1833
1377,3,22300000,New Property,Ready To Move,Broker,No, Whitefield,1393
1378,2,7288000,New Property,Ready To Move,Broker,No, Whitefield,911
1379,2,8000000,New Property,Ready To Move,Broker,No, Whitefield,986
1380,3,7779000,New Property,Ready To Move,Broker,No, Kannamangala,1287
1381,3,13300000,New Property,Ready To Move,Broker,No, Mysore Road,1800
1382,3,12600000,New Property,Ready To Move,Broker,No, Varthur,1540
1383,2,8940000,New Property,Ready To Move,Broker,No, Bommasandra,1479
1384,3,6231000,New Property,Ready To Move,Broker,No, Begur,1325
1385,3,9374000,New Property,Ready To Move,Broker,No, Kanakapura Road,1440
1386,4+,60000000,New Property,Ready To Move,Broker,No, Whitefield,2956
1387,2,16000000,Resale,Ready To Move,Broker,No, Sarjapur Road,1253
1388,4+,56500000,Resale,Ready To Move,Broker,No, Devanahalli,3420
1389,2,9800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1052
1390,3,22000000,New Property,Ready To Move,Broker,No, Whitefield,1551
1391,2,9300000,New Property,Ready To Move,Broker,No, Whitefield,955
1392,2,6854000,New Property,Ready To Move,Broker,No, Varthur,1043
1393,2,6695000,New Property,Ready To Move,Broker,No, Hosur Road,966
1394,2,6510000,New Property,Ready To Move,Broker,No, Uttarahalli,1286
1395,2,7042000,New Property,Ready To Move,Broker,No, Yelahanka,1062
1396,4,21000000,New Property,Ready To Move,Broker,No, Whitefield,1890
1397,3,23200000,New Property,Ready To Move,Broker,No, Harlur,1668
1398,3,7440000,New Property,Ready To Move,Broker,No, Thanisandra Ma,1380
1399,2,9348000,New Property,Ready To Move,Broker,No, Akshayanagar,1134
1400,2,11800000,New Property,Ready To Move,Broker,No, Gunjur,1387
1401,3,5911000,New Property,Ready To Move,Broker,No, Akshayanagar,1445
1402,2,5125000,New Property,Ready To Move,Broker,No, Uttarahalli,1002
1403,2,8551000,New Property,Ready To Move,Broker,No, Choodasandra,1332
1404,2,8579000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1025
1405,2,10800000,New Property,Ready To Move,Broker,No, KR Puram,1552
1406,3,17200000,New Property,Ready To Move,Broker,No, Kaggadasapura,1610
1407,2,6938000,Resale,Ready To Move,Broker,No, Kanakapura Road,1278
1408,2,5962000,New Property,Ready To Move,Broker,No, Chansandra,1355
1409,2,11300000,New Property,Ready To Move,Broker,No, Sarjapur Road,1215
1410,2,8800000,New Property,Ready To Move,Broker,No, Sarjapur Road,1100
1411,2,5000000,Resale,Ready To Move,Broker,No, Kengeri,700
1412,4+,25000000,Resale,Ready To Move,Broker,No, Sarjapur Attibele Road,2200
1413,3,38300000,New Property,Ready To Move,Broker,No, Malleshwaram,3195
1414,3,39500000,New Property,Ready To Move,Broker,No, Malleshwaram,3295
1415,2,6766000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1080
1416,3,9266000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1430
1417,2,7381000,New Property,Ready To Move,Broker,No, Off Sarjapur road,1210
1418,4,31800000,New Property,Ready To Move,Broker,No, Off Sarjapur road,4408
1419,4,6037000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1725
1420,4,16100000,New Property,Ready To Move,Broker,No, Sarjapur Road,2710
1421,3,12100000,New Property,Ready To Move,Broker,No, Thanisandra,1677
1422,3,9548000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1705
1423,2,7302000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1304
1424,2,13500000,New Property,Ready To Move,Broker,No, Kanakapura Road,1274
1425,3,5040000,New Property,Ready To Move,Broker,No, Sarjapur Attibele Road,1440
1426,2,10000000,New Property,Ready To Move,Broker,No, Banashankari,1355
1427,3,15200000,New Property,Ready To Move,Broker,No, Banashankari,2060
1428,3,12000000,New Property,Ready To Move,Broker,No, Sarjapur Road,1300
1429,2,13200000,New Property,Ready To Move,Broker,No, Sarjapur Road,1435
1430,3,28000000,New Property,Ready To Move,Broker,No, Kanakapura Road,1703
1431,4,27000000,New Property,Ready To Move,Broker,No, Old Madras Road,3450
1432,2,10500000,Resale,Ready To Move,Broker,No, Banaswadi,1155
1433,4,72500000,Resale,Ready To Move,Broker,No, Whitefield,3250
1434,2,12700000,New Property,Ready To Move,Broker,No, Kanakapura Road,1204
1435,3,8600000,New Property,Ready To Move,Broker,No, Devanahalli,1510
1436,2,6766000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1080
1437,2,9327000,New Property,Ready To Move,Broker,No, Devanahalli,1490
1438,3,9266000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1430
1439,3,9386000,New Property,Ready To Move,Broker,No, Electronic City Phase I,1495
1440,4,20500000,New Property,Ready To Move,Broker,No, Whitefield,2591
1441,2,5700000,New Property,Ready To Move,Broker,No, Begur,1040
1442,3,9548000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1705
1443,2,7302000,New Property,Ready To Move,Broker,No, Doddaballapur Road,1304
1444,2,9805000,New Property,Ready To Move,Broker,No, Banashankari,1325
1445,2,10000000,New Property,Ready To Move,Broker,No, Banashankari,1355
1446,3,15200000,New Property,Ready To Move,Broker,No, Banashankari,2060
1447,3,7604000,New Property,Ready To Move,Broker,No, Electronic City,1325
1448,2,5445000,New Property,Ready To Move,Broker,No, Whitefield,1089
